1	4	61	61
1	4	62	62
1	4	63	63
1	4	64	64
1	4	65	65
1	4	66	66
1	4	67	67
1	4	68	68
1	4	69	69
1	4	6a	6a
1	4	6b	6b
1	4	6c	6c
1	4	6d	6d
1	4	6e	6e
1	4	6f	6f
1	4	70	70
1	4	71	71
1	4	72	72
1	4	73	73
1	4	74	74
1	4	75	75
1	4	76	76
1	4	77	77
1	4	78	78
1	4	79	79
1	4	7a	7a
1	4	41	41
1	4	42	42
1	4	43	43
1	4	44	44
1	4	45	45
1	4	46	46
1	4	47	47
1	4	48	48
1	4	49	49
1	4	4a	4a
1	4	4b	4b
1	4	4c	4c
1	4	4d	4d
1	4	4e	4e
1	4	4f	4f
1	4	50	50
1	4	51	51
1	4	52	52
1	4	53	53
1	4	54	54
1	4	55	55
1	4	56	56
1	4	57	57
1	4	58	58
1	4	59	59
1	4	5a	5a
1	4	30	30
1	4	31	31
1	4	32	32
1	4	33	33
1	4	34	34
1	4	35	35
1	4	36	36
1	4	37	37
1	4	38	38
1	4	39	39
1	4	3a	3a
1	4	2f	2f
1	4	40	40
1	4	23	23
1	4	3f	3f
1	4	3d	3d
1	4	2b	2b
1	4	2d	2d
1	4	5f	5f
1	4	2e	2e
1	4	25	25
1	4	26	26
1	4	5c	5c
2	4	61	61
2	4	62	62
2	4	63	63
2	4	64	64
2	4	65	65
2	4	66	66
2	4	67	67
2	4	68	68
2	4	69	69
2	4	6a	6a
2	4	6b	6b
2	4	6c	6c
2	4	6d	6d
2	4	6e	6e
2	4	6f	6f
2	4	70	70
2	4	71	71
2	4	72	72
2	4	73	73
2	4	74	74
2	4	75	75
2	4	76	76
2	4	77	77
2	4	78	78
2	4	79	79
2	4	7a	7a
2	4	41	41
2	4	42	42
2	4	43	43
2	4	44	44
2	4	45	45
2	4	46	46
2	4	47	47
2	4	48	48
2	4	49	49
2	4	4a	4a
2	4	4b	4b
2	4	4c	4c
2	4	4d	4d
2	4	4e	4e
2	4	4f	4f
2	4	50	50
2	4	51	51
2	4	52	52
2	4	53	53
2	4	54	54
2	4	55	55
2	4	56	56
2	4	57	57
2	4	58	58
2	4	59	59
2	4	5a	5a
2	4	30	30
2	4	31	31
2	4	32	32
2	4	33	33
2	4	34	34
2	4	35	35
2	4	36	36
2	4	37	37
2	4	38	38
2	4	39	39
2	4	3a	3a
2	4	2f	2f
2	4	40	40
2	4	23	23
2	4	3f	3f
2	4	3d	3d
2	4	2b	2b
2	4	2d	2d
2	4	5f	5f
2	4	2e	2e
2	4	25	25
2	4	26	26
2	4	5c	5c
5	6	5c	5c
6	0	61	61
6	7	62	62
6	0	63	63
6	0	64	64
6	0	65	65
6	7	66	66
6	0	67	67
6	0	68	68
6	0	69	69
6	0	6a	6a
6	0	6b	6b
6	0	6c	6c
6	0	6d	6d
6	7	6e	6e
6	0	6f	6f
6	0	70	70
6	0	71	71
6	7	72	72
6	0	73	73
6	7	74	74
6	8	75	75
6	0	76	76
6	0	77	77
6	0	78	78
6	0	79	79
6	0	7a	7a
6	0	41	41
6	0	42	42
6	0	43	43
6	0	44	44
6	0	45	45
6	0	46	46
6	0	47	47
6	0	48	48
6	0	49	49
6	0	4a	4a
6	0	4b	4b
6	0	4c	4c
6	0	4d	4d
6	0	4e	4e
6	0	4f	4f
6	0	50	50
6	0	51	51
6	0	52	52
6	0	53	53
6	0	54	54
6	0	55	55
6	0	56	56
6	0	57	57
6	0	58	58
6	0	59	59
6	0	5a	5a
6	0	30	30
6	0	31	31
6	0	32	32
6	0	33	33
6	0	34	34
6	0	35	35
6	0	36	36
6	0	37	37
6	0	38	38
6	0	39	39
6	0	3a	3a
6	0	2f	2f
6	0	40	40
6	0	23	23
6	0	3f	3f
6	0	3d	3d
6	0	2b	2b
6	0	2d	2d
6	0	5f	5f
6	0	2e	2e
6	0	25	25
6	0	26	26
6	0	5c	5c
7	0	61	61
7	0	62	62
7	0	63	63
7	0	64	64
7	0	65	65
7	0	66	66
7	0	67	67
7	0	68	68
7	0	69	69
7	0	6a	6a
7	0	6b	6b
7	0	6c	6c
7	0	6d	6d
7	0	6e	6e
7	0	6f	6f
7	0	70	70
7	0	71	71
7	0	72	72
7	0	73	73
7	0	74	74
7	0	75	75
7	0	76	76
7	0	77	77
7	0	78	78
7	0	79	79
7	0	7a	7a
7	0	41	41
7	0	42	42
7	0	43	43
7	0	44	44
7	0	45	45
7	0	46	46
7	0	47	47
7	0	48	48
7	0	49	49
7	0	4a	4a
7	0	4b	4b
7	0	4c	4c
7	0	4d	4d
7	0	4e	4e
7	0	4f	4f
7	0	50	50
7	0	51	51
7	0	52	52
7	0	53	53
7	0	54	54
7	0	55	55
7	0	56	56
7	0	57	57
7	0	58	58
7	0	59	59
7	0	5a	5a
7	0	30	30
7	0	31	31
7	0	32	32
7	0	33	33
7	0	34	34
7	0	35	35
7	0	36	36
7	0	37	37
7	0	38	38
7	0	39	39
7	0	3a	3a
7	0	2f	2f
7	0	40	40
7	0	23	23
7	0	3f	3f
7	0	3d	3d
7	0	2b	2b
7	0	2d	2d
7	0	5f	5f
7	0	2e	2e
7	0	25	25
7	0	26	26
7	0	5c	5c
8	10	61	61
8	10	62	62
8	10	63	63
8	10	64	64
8	10	65	65
8	10	66	66
8	0	67	67
8	0	68	68
8	0	69	69
8	0	6a	6a
8	0	6b	6b
8	0	6c	6c
8	0	6d	6d
8	0	6e	6e
8	0	6f	6f
8	0	70	70
8	0	71	71
8	0	72	72
8	0	73	73
8	0	74	74
8	0	75	75
8	0	76	76
8	0	77	77
8	0	78	78
8	0	79	79
8	0	7a	7a
8	10	41	41
8	10	42	42
8	10	43	43
8	10	44	44
8	10	45	45
8	10	46	46
8	0	47	47
8	0	48	48
8	0	49	49
8	0	4a	4a
8	0	4b	4b
8	0	4c	4c
8	0	4d	4d
8	0	4e	4e
8	0	4f	4f
8	0	50	50
8	0	51	51
8	0	52	52
8	0	53	53
8	0	54	54
8	0	55	55
8	0	56	56
8	0	57	57
8	0	58	58
8	0	59	59
8	0	5a	5a
