63	0	61	61
63	0	62	62
63	0	63	63
63	0	64	64
63	0	65	65
63	0	66	66
63	0	67	67
63	0	68	68
63	0	69	69
63	0	6a	6a
63	0	6b	6b
63	0	6c	6c
63	0	6d	6d
63	0	6e	6e
63	0	6f	6f
63	0	70	70
63	0	71	71
63	0	72	72
63	0	73	73
63	0	74	74
63	0	75	75
63	0	76	76
63	0	77	77
63	0	78	78
63	0	79	79
63	0	7a	7a
63	0	41	41
63	0	42	42
63	0	43	43
63	0	44	44
63	0	45	45
63	0	46	46
63	0	47	47
63	0	48	48
63	0	49	49
63	0	4a	4a
63	0	4b	4b
63	0	4c	4c
63	0	4d	4d
63	0	4e	4e
63	0	4f	4f
63	0	50	50
63	0	51	51
63	0	52	52
63	0	53	53
63	0	54	54
63	0	55	55
63	0	56	56
63	0	57	57
63	0	58	58
63	0	59	59
63	0	5a	5a
63	0	30	30
63	0	31	31
63	0	32	32
63	0	33	33
63	0	34	34
63	0	35	35
63	0	36	36
63	0	37	37
63	0	38	38
63	0	39	39
63	0	3a	3a
63	0	2f	2f
63	0	40	40
63	0	23	23
63	0	3f	3f
63	0	3d	3d
63	0	2b	2b
63	0	2d	2d
63	0	5f	5f
63	0	2e	2e
63	0	25	25
63	0	26	26
62	22	61	61
62	22	62	62
62	22	63	63
62	22	64	64
62	22	65	65
62	22	66	66
62	22	67	67
62	22	68	68
62	22	69	69
62	22	6a	6a
62	22	6b	6b
62	22	6c	6c
62	22	6d	6d
62	22	6e	6e
62	22	6f	6f
62	22	70	70
62	22	71	71
62	22	72	72
62	22	73	73
62	22	74	74
62	22	75	75
62	22	76	76
62	22	77	77
62	22	78	78
62	22	79	79
62	22	7a	7a
62	22	41	41
62	22	42	42
62	22	43	43
62	22	44	44
62	22	45	45
62	22	46	46
62	22	47	47
62	22	48	48
62	22	49	49
62	22	4a	4a
62	22	4b	4b
62	22	4c	4c
62	22	4d	4d
62	22	4e	4e
62	22	4f	4f
62	22	50	50
62	22	51	51
62	22	52	52
62	22	53	53
62	22	54	54
62	22	55	55
62	22	56	56
62	22	57	57
62	22	58	58
62	22	59	59
62	22	5a	5a
62	22	30	30
62	22	31	31
62	22	32	32
